"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 18, 2020","57.00","60.00","60.78","56.95","1.23M","-4.17%"
"Nov 17, 2020","59.48","57.13","59.84","55.44","1.19M","1.31%"
"Nov 16, 2020","58.71","57.66","58.83","56.64","1.60M","7.12%"
"Nov 13, 2020","54.81","52.88","55.35","52.85","632.99K","6.22%"
"Nov 12, 2020","51.60","52.94","53.46","50.09","1.11M","-4.76%"
"Nov 11, 2020","54.18","54.80","54.88","52.46","653.99K","0.02%"
"Nov 10, 2020","54.17","52.89","54.74","51.31","1.26M","5.33%"
"Nov 09, 2020","51.43","56.88","58.08","51.12","2.20M","11.15%"
"Nov 06, 2020","46.27","48.06","48.09","46.03","652.41K","-2.49%"
"Nov 05, 2020","47.45","45.03","47.94","44.98","836.00K","8.36%"
"Nov 04, 2020","43.79","41.63","45.29","41.60","934.13K","0.30%"
"Nov 03, 2020","43.66","42.21","44.34","41.93","928.12K","8.61%"
"Nov 02, 2020","40.20","39.37","40.23","38.61","546.23K","5.43%"
"Oct 30, 2020","38.13","39.11","39.79","36.86","2.08M","-4.10%"
"Oct 29, 2020","39.76","37.97","40.22","37.19","840.73K","3.51%"
"Oct 28, 2020","38.41","39.46","40.07","38.18","914.08K","-9.20%"
"Oct 27, 2020","42.30","43.34","43.75","42.10","298.10K","-2.53%"
"Oct 26, 2020","43.40","44.57","44.94","41.57","749.59K","-6.53%"
"Oct 23, 2020","46.43","46.37","46.56","44.92","688.60K","1.75%"
"Oct 22, 2020","45.63","43.96","45.63","43.21","493.77K","5.21%"
"Oct 21, 2020","43.37","44.61","44.99","43.29","529.34K","-2.56%"
"Oct 20, 2020","44.51","45.14","45.89","44.14","538.24K","0.61%"
"Oct 19, 2020","44.24","46.35","47.26","43.88","630.73K","-3.62%"
"Oct 16, 2020","45.90","46.62","47.02","45.84","531.93K","-0.67%"
"Oct 15, 2020","46.21","43.16","46.55","43.07","755.86K","3.01%"
"Oct 14, 2020","44.86","46.63","47.19","44.72","592.85K","-2.86%"
"Oct 13, 2020","46.18","45.96","46.61","45.17","1.09M","-2.10%"
"Oct 12, 2020","47.17","46.79","47.48","46.21","907.27K","2.03%"
"Oct 11, 2020","46.23","46.23","46.23","46.23","-","0.00%"
"Oct 09, 2020","46.23","46.77","47.02","45.49","651.07K","1.54%"
"Oct 08, 2020","45.53","45.28","45.80","44.46","1.06M","3.48%"
"Oct 07, 2020","44.00","42.88","44.40","42.80","993.74K","6.43%"
"Oct 06, 2020","41.34","42.77","44.79","41.09","2.19M","-0.79%"
"Oct 05, 2020","41.67","39.90","41.83","39.90","1.06M","8.18%"
"Oct 04, 2020","38.52","38.52","38.52","38.52","-","0.00%"
"Oct 03, 2020","38.52","38.52","38.52","38.52","-","0.00%"
"Oct 02, 2020","38.52","35.75","39.00","35.72","2.22M","1.42%"
"Oct 01, 2020","37.98","36.96","38.00","36.10","640.14K","4.60%"
"Sep 30, 2020","36.31","36.83","37.78","35.50","725.73K","1.06%"
"Sep 29, 2020","35.93","36.11","36.55","35.10","449.99K","-1.48%"
"Sep 28, 2020","36.47","35.29","36.68","35.29","568.68K","7.49%"
"Sep 27, 2020","33.93","33.93","33.93","33.93","-","0.00%"
"Sep 26, 2020","33.93","33.93","33.93","33.93","-","0.00%"
"Sep 25, 2020","33.93","32.06","34.19","32.06","589.98K","4.88%"
"Sep 24, 2020","32.35","32.37","33.94","31.01","1.52M","-0.09%"
"Sep 23, 2020","32.38","35.43","36.11","32.29","1.27M","-8.87%"
"Sep 22, 2020","35.53","35.12","35.65","33.80","763.39K","2.16%"
"Sep 21, 2020","34.78","36.10","36.37","33.54","1.93M","-10.18%"
"Sep 18, 2020","38.72","39.30","40.25","37.14","1.07M","-0.95%"
"Sep 17, 2020","39.09","38.15","39.50","37.58","641.41K","-2.10%"
"Sep 16, 2020","39.93","39.41","41.46","39.40","571.29K","2.86%"
"Sep 15, 2020","38.82","39.60","39.77","38.46","526.93K","0.52%"
"Sep 14, 2020","38.62","36.99","38.83","36.80","449.07K","7.97%"
"Sep 13, 2020","35.77","35.77","35.77","35.77","-","0.00%"
"Sep 11, 2020","35.77","37.06","37.18","34.75","926.54K","-2.19%"
"Sep 10, 2020","36.57","38.49","39.22","36.48","753.61K","-3.79%"
"Sep 09, 2020","38.01","37.47","38.41","36.92","620.87K","4.57%"
"Sep 08, 2020","36.35","37.20","38.32","35.81","979.34K","-5.68%"
"Sep 04, 2020","38.54","40.85","40.90","35.87","1.38M","-1.98%"
"Sep 03, 2020","39.32","42.80","43.03","38.71","2.18M","-8.94%"
"Sep 02, 2020","43.18","42.55","43.56","41.45","1.06M","2.35%"
"Sep 01, 2020","42.19","40.55","42.21","40.04","983.29K","3.53%"
"Aug 31, 2020","40.75","42.14","42.31","40.73","695.15K","-3.25%"
"Aug 30, 2020","42.12","42.12","42.12","42.12","-","0.00%"
"Aug 28, 2020","42.12","41.72","42.16","41.03","1.69M","2.48%"
"Aug 27, 2020","41.10","41.30","42.01","40.25","643.35K","0.83%"
"Aug 26, 2020","40.76","41.61","41.84","40.66","760.92K","-2.00%"
"Aug 25, 2020","41.59","41.80","41.80","40.35","927.42K","0.27%"
